INFO [2024-10-14 12:44:39]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 12:45:20]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.INFO [2024-10-14 16:57:55]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:58:26]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 16:58:44]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
WARNING [2024-10-14 16:58:48]: co.edu.uniquindio.icaja.model.Sesion.ingresar(), Usuario no existe
INFO [2024-10-14 16:59:01]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 16:59:17]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:19]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:30]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:32]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:33]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:34]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:35]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:36]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:38]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:40]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 16:59:41]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:01:58]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
WARNING [2024-10-14 17:02:07]: co.edu.uniquindio.icaja.model.Sesion.ingresar(), Usuario no existe
INFO [2024-10-14 17:03:45]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:04:13]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:04:22]: co.edu.uniquindio.icaja.model.Usuario.ingresar(), El usuarioJorge ingresó satisfactoriamente
INFO [2024-10-14 17:04:29]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
INFO [2024-10-14 17:04:39]: co.edu.uniquindio.icaja.controller.UsuarioController.sincronizarData(), Se sincronizaron los usuarios.
